Geocódigo;Município [-];Município;Área do município;Área sobreposta;Percentual;+50
1500305;Afuá;AFUÁ;833846,7163;65223,6669;7,822;
1500347;Água Azul do Norte;ÁGUA AZUL DO NORTE;711393,0124;160532,2494;22,5659;
1500404;Alenquer;ALENQUER;2364438,74;1613557,869;68,2427;Alenquer
1500503;Almeirim;ALMEIRIM;7295618,28;5750282,982;78,8183;Almeirim
1500602;Altamira;ALTAMIRA;15953326,8;13737604,79;86,1112;Altamira
1500701;Anajás;ANAJÁS;691365,5166;1298,0302;0,1877;
1500800;Ananindeua;ANANINDEUA;19059,0081;210,6626;1,1053;
1500859;Anapu;ANAPU;1189522,224;514257,9555;43,2323;
1500909;Augusto Corrêa;AUGUSTO CORRÊA;109957,4674;41852,9254;38,0628;
1501006;Aveiro;AVEIRO;1707454,279;948513,2092;55,5513;Aveiro
1501105;Bagre;BAGRE;439732,1207;47,6337;0,0108;
1501204;Baião;BAIÃO;376000,152;67500,3854;17,9522;
1501253;Bannach;BANNACH;295664,8744;16488,8409;5,5769;
1501402;Belém;BELÉM;105946,3258;1396,3247;1,318;
1501451;Belterra;BELTERRA;439841,8755;246845,7685;56,1215;Belterra
1501501;Benevides;BENEVIDES;18782,5786;1974,3957;10,5118;
1501576;Bom Jesus do Tocantins;BOM JESUS DO TOCANTINS;281659,0653;62482,5314;22,1837;
1501709;Bragança;BRAGANÇA;212471,1817;31072,7218;14,6244;
1501725;Brasil Novo;BRASIL NOVO;636257,5288;155819,2209;24,49;
1501758;Brejo Grande do Araguaia;BREJO GRANDE DO ARAGUAIA;128845,693;4185,1936;3,2482;
1501808;Breves;BREVES;956650,389;92945,3728;9,7157;
1502152;Canaã dos Carajás;CANAÃ DOS CARAJÁS;314679,8137;138475,3626;44,0052;
1502764;Cumaru do Norte;CUMARU DO NORTE;1708500,024;402462,2536;23,5565;
1502806;Curralinho;CURRALINHO;361736,6438;122136,5014;33,7639;
1502905;Curuçá;CURUÇÁ;67632,0608;24366,1457;36,0275;
1503002;Faro;FARO;1177166,957;1092479,061;92,8058;Faro
1503044;Floresta do Araguaia;FLORESTA DO ARAGUAIA;344428,509;300,2257;0,0872;
1503077;Garrafão do Norte;GARRAFÃO DO NORTE;160801,4368;312,2217;0,1942;
1503101;Gurupá;GURUPÁ;856963,1511;142078,3441;16,5793;
