municipio,total_delta_reg_ha,passivo_consolidado_total,total_imoveis
São Félix do Xingu,790303.5240277828,671135.1006745333,2271
Altamira,240786.55881434295,60925.43953952743,1840
Ourilândia do Norte,63549.32439645254,89914.56783842127,138
Jacareacanga,35759.4183404834,24204.14382681014,342
Monte Alegre,32941.25086408475,40213.24949906823,370
Óbidos,31929.769802233262,33790.86444364899,312
Alenquer,24236.906555295773,25035.415670277445,329
Oriximiná,20593.59848431451,21844.169911021323,173
Porto de Moz,18664.54506168447,18341.161417090898,193
Senador José Porfírio,16941.986875607876,-40214.11741928276,305
Parauapebas,15825.303162800708,20659.81049078634,67
Trairão,13597.507921287523,-4429.42063739359,219
Nova Esperança do Piriá,8318.238130522916,13924.436793877569,24
Belterra,6951.201597008063,8043.77566970829,64
Almeirim,5163.161451686727,-3067.426022352124,1107
Faro,4093.584523131463,1251.8309269098806,16
Aveiro,3168.3586442448955,-1479.292927448824,380
Quatipuru,97.51002000000004,28.396656630596823,3
