municipio,total_delta_reg_ha,qtd_imoveis_impactados
São Félix do Xingu,790303.5240277828,2271
Santana do Araguaia,303560.601240766,442
Cumaru do Norte,302595.4112348038,309
Marabá,242466.03158358266,743
Altamira,240786.55881434295,1840
Paragominas,239683.98681025478,983
Santa Maria das Barreiras,218470.80082682896,485
Novo Progresso,201034.40173032295,1092
Novo Repartimento,147494.2540047496,635
Tucumã,137121.38759288128,98
Água Azul do Norte,118693.3231739961,378
Rondon do Pará,115842.89571304046,664
Ulianópolis,95638.39416555053,294
Xinguara,94859.76113720197,151
Tomé-Açu,94108.86640480206,396
Pacajá,93085.58554494994,687
Redenção,91348.77057270193,207
Rio Maria,88583.85033867232,249
Itupiranga,80813.59142725478,402
Moju,79450.10698703674,434
Itaituba,79393.66792953023,1609
Tailândia,74282.13260560544,282
Dom Eliseu,71840.06563312473,494
Bannach,66781.95967026765,176
Goianésia do Pará,65350.34473671859,370
Curionópolis,65091.47299822771,139
Ourilândia do Norte,63549.32439645254,138
Santarém,61959.68806693793,408
Ipixuna do Pará,56508.57098216311,320
Conceição do Araguaia,54879.59988965699,299
Sapucaia,52427.74041000003,44
Piçarra,52367.807169358544,133
Anapu,47336.76743057737,353
Viseu,47129.800227338805,207
Acará,44706.47197058313,189
Prainha,38356.16080345001,688
Eldorado do Carajás,36438.92921559413,93
Jacareacanga,35759.4183404834,342
Floresta do Araguaia,34599.7654138219,153
São Geraldo do Araguaia,34279.78824324957,132
Monte Alegre,32941.25086408475,370
Breu Branco,32244.583394847134,183
Óbidos,31929.769802233262,312
Canaã dos Carajás,31479.099978185943,100
Pau D'Arco,30515.06355916305,87
Vitória do Xingu,29844.05921463828,173
Portel,29392.0441902102,1247
Bom Jesus do Tocantins,28635.471954486296,127
Brasil Novo,28475.822189614923,281
Uruará,28401.038513647876,438
Aurora do Pará,26756.36253208959,110
Alenquer,24236.906555295773,329
Capitão Poço,23522.536819385103,118
Garrafão do Norte,23487.67241263362,91
Brejo Grande do Araguaia,22950.69393553142,63
Chaves,21150.144015640777,395
Jacundá,20598.179289880492,110
Oriximiná,20593.59848431451,173
São Domingos do Capim,19673.559762800847,88
Palestina do Pará,18982.48915144798,49
Porto de Moz,18664.54506168447,193
Senador José Porfírio,16941.986875607876,305
Parauapebas,15825.303162800708,67
São Domingos do Araguaia,14202.621557778519,75
Tucuruí,13925.147918747838,71
Santa Luzia do Pará,13877.329909230644,55
Irituia,13751.845877064341,77
Trairão,13597.507921287523,219
Ourém,13192.798022623881,58
Placas,13084.808226211071,158
Baião,12857.844128875393,136
Cachoeira do Piriá,12576.165513363743,56
São Miguel do Guamá,11062.32657797851,60
Medicilândia,10586.689933188796,306
Bragança,10460.456486423487,86
Mojuí dos Campos,9844.107158859002,184
Terra Santa,9424.648637631399,29
Castanhal,9155.672325031563,71
São João do Araguaia,8797.041470182436,57
Nova Ipixuna,8722.234249891171,54
Mãe do Rio,8597.558831931394,40
Santa Izabel do Pará,8463.853824820915,55
Rurópolis,8460.276626272736,135
Nova Esperança do Piriá,8318.238130522916,24
Abel Figueiredo,7834.695938404608,39
Igarapé-Açu,7670.855503246499,51
Bonito,7560.591551260273,31
Curuá,7113.929335346713,48
Belterra,6951.201597008063,64
Concórdia do Pará,6760.637894378271,49
Juruti,6025.35260873562,356
Nova Timboteua,5922.538218616126,34
Peixe-Boi,5253.561354814532,38
Almeirim,5163.161451686727,1107
Bujaru,4735.559799448406,32
Inhangapi,4644.7677285234195,24
Abaetetuba,4351.218833023948,57
São Francisco do Pará,4170.32295,29
Faro,4093.584523131463,16
Tracuateua,3925.092978358393,22
São João de Pirabas,3641.8144707245183,26
Capanema,3484.885345029898,25
Aveiro,3168.3586442448955,380
Santa Maria do Pará,3027.30998600713,25
Santo Antônio do Tauá,2949.156346660087,25
Santarém Novo,2571.337423612932,14
Oeiras do Pará,2082.476678423004,57
Augusto Corrêa,1984.6442106608029,17
Maracanã,1791.0935899140968,15
Marapanim,1778.0005284107663,17
Primavera,1726.818941574244,13
Vigia,1336.1267286580423,19
São Caetano de Odivelas,1273.9352479299266,21
Terra Alta,1205.9080017580993,9
Santa Bárbara do Pará,1188.8556423659768,45
Afuá,1005.5936479252161,48
Benevides,850.6316619957346,39
Ponta de Pedras,815.2204344944174,125
Cametá,745.5400915684122,38
Magalhães Barata,655.6905117821536,8
Curuçá,642.7871003567084,11
Igarapé-Miri,642.5510992396324,44
Santa Cruz do Arari,578.324992961946,35
São João da Ponta,482.58500306367785,5
Belém,458.09733723102767,97
Barcarena,375.66824471734594,19
Cachoeira do Arari,373.9066056477849,89
Melgaço,219.88434000000004,66
Muaná,172.7432743029803,175
Soure,113.39534640661292,86
Colares,104.65640956789235,7
Quatipuru,97.51002000000004,3
Salvaterra,36.27549235078703,40
Mocajuba,20.08695850157966,16
Ananindeua,20.018354975059303,15
Marituba,19.18549332265809,14
Bagre,10.47351388147024,145
Limoeiro do Ajuru,2.942861419270457,14
Gurupá,0.0,52
Curralinho,0.0,13
Salinópolis,0.0,2
Breves,0.0,67
Anajás,0.0,219
São Sebastião da Boa Vista,0.0,26
