municipio,delta_validado_total,imoveis
São Félix do Xingu,790303.5240277833,2271
Altamira,240786.55881434298,1840
Ourilândia do Norte,63549.324396452525,138
Jacareacanga,35759.4183404834,342
Monte Alegre,32941.250864084745,370
Óbidos,31929.769802233248,312
Alenquer,24236.906555295787,329
Oriximiná,20593.598484314512,173
Porto de Moz,18664.545061684457,193
Senador José Porfírio,16941.986875607883,305
Parauapebas,15825.30316280071,67
Trairão,13597.507921287519,219
Nova Esperança do Piriá,8318.238130522916,24
Belterra,6951.201597008063,64
Almeirim,5163.161451686724,1107
Faro,4093.584523131463,16
Aveiro,3168.3586442448945,380
Quatipuru,97.51002000000004,3
